dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
volcanoes-d4,3,5,0.0108053684234619,0,138,94,36,36,141.7,97.06,0.027568817138671875,1799,299
pitt2_3,LONG,2,0.0067682266235351,0,159,71,78,40,159.0,73.185,0.01848626136779785,1623,277
pitt2_3,LONG,3,0.0082664489746093,0,241,118,116,64,243.43333333333334,103.30333333333334,0.02356433868408203,2092,2048
pitt2_3,LONG,5,0.0085492134094238,0,255,127,123,69,298.30260416666664,126.57916666666667,0.026471614837646484,2283,44552
grammatical_b5,1,2,0.5848731994628906,0,30103,1715,29350,708,30103.0,2111.16,0.43269896507263184,25183,700337
grammatical_b5,1,3,0.8316972255706787,0,41329,9927,40564,763,40620.64166666667,10803.628333333334,0.6283049583435059,26536,275933568
grammatical_b5,1,5,30.67976975440979,0,184613,148895,183845,772,312912.131875,378750.07708333334,0.6563949584960938,28489,19226968518304
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1118106842041015,0,325,275,139,133,325.0,275.0,0.15075349807739258,2425,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2459573745727539,0,1575,1525,768,216,1575.0,1525.0,0.2104952335357666,4325,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,1.0904123783111572,0,7825,4650,3955,216,7825.0,4650.0,0.2867121696472168,6625,68406
pitt1_4,S,2,0.0071022510528564,0,177,65,82,34,177.0,73.62,0.0252530574798584,1724,301
pitt1_4,S,3,0.0078237056732177,0,223,91,101,44,264.6375,93.24,0.0240478515625,2189,2325
pitt1_4,S,5,0.0078425407409667,0,224,92,101,44,262.66875,104.31,0.025927305221557617,2247,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,5.662222385406494,0,5050,2800,2224,281,5050.0,2773.0,4.182329893112183,10000,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,43.92037630081177,0,56890,27703,28709,304,65770.0,25432.0,5.590165615081787,15462,166751
gesture_va,P,2,0.8398106098175049,0,8256,1594,4281,398,8256.0,1963.52,0.30287599563598633,12828,8257
gesture_va,P,3,0.8450961112976074,0,24672,2024,20154,458,36402.4,3499.306666666667,0.2667973041534424,15831,349633
gesture_va,P,5,0.8567099571228027,0,24982,2125,20463,482,31877.866666666665,3714.346666666667,0.2642092704772949,15664,275584033
connectionist_vowel,4,2,0.0331294536590576,0,1655,296,583,304,1655.0,286.995,0.06741595268249512,5659,1771
connectionist_vowel,4,3,0.0786881446838378,0,2419,420,1316,392,2736.1,488.205,0.07690310478210449,6575,34280
connectionist_vowel,4,5,0.0794293880462646,0,2467,451,1364,401,2882.388125,631.33675,0.07933187484741211,6639,5495792
breast_cancer_wis_pro,R,2,0.1659266948699951,0,9334,964,4187,380,9334.0,1034.28,0.1435542106628418,13654,11936
breast_cancer_wis_pro,R,3,0.2132711410522461,0,11938,1357,6708,445,12693.483333333334,1621.8,0.1804816722869873,14712,608840
breast_cancer_wis_pro,R,5,0.229835033416748,0,12632,1846,7401,501,13977.578333333333,4152.227333333333,0.16582202911376953,15077,699135746
diggle_table_a2,8,2,0.0088124275207519,0,168,103,76,70,168.0,98.515,0.02143096923828125,1632,529
diggle_table_a2,8,3,0.0118193626403808,0,364,184,240,194,427.63958333333335,208.13666666666666,0.032623291015625,2570,5489
diggle_table_a2,8,5,0.0149300098419189,0,505,270,381,258,514.1660416666666,262.633,0.03669404983520508,2802,242825
page,5,2,0.0307941436767578,0,781,173,244,184,781.0,175.89,0.05418729782104492,3840,821
page,5,3,0.0396583080291748,0,1133,287,590,300,1084.46875,291.265,0.06438064575195312,4455,10701
page,5,5,0.0435285568237304,0,1267,380,724,343,1260.561875,482.8395,0.07202720642089844,4665,760099
steel-plates-fault,2,2,0.1450529098510742,0,5784,894,3352,466,5784.0,967.815,0.1398780345916748,10713,6442
steel-plates-fault,2,3,0.218562364578247,0,9156,2042,6496,661,7896.804166666667,2638.4416666666666,0.16034507751464844,12071,240578
steel-plates-fault,2,5,0.297137975692749,0,11390,2570,8684,862,11579.721875,12459.42775,0.17769813537597656,13123,147043850
mechanical,4,2,0.0230088233947753,0,381,256,155,145,381.0,246.51,0.04397439956665039,2630,466
mechanical,4,3,0.0504515171051025,0,1316,594,717,263,1451.04375,682.785,0.06782841682434082,4254,4526
mechanical,4,5,0.0610628128051757,0,1606,800,973,302,1758.14625,896.256,0.07306146621704102,4616,174437
OnlineShoppersIntention,True,2,0.1628327369689941,0,3250,456,1362,297,3250.0,480.0,0.13493037223815918,7990,4096
OnlineShoppersIntention,True,3,0.2636959552764892,0,5338,1383,3039,423,5133.0,2064.8,0.1547532081604004,8970,121576
OnlineShoppersIntention,True,5,0.511955738067627,0,8680,4420,5938,486,9142.8,6511.0,0.16675090789794922,9685,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.1843910217285156,0,5050,4600,2264,355,5050.0,4600.0,0.16422176361083984,10000,5051
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,3.4716873168945312,0,125050,4600,68469,355,125050.0,4600.0,0.2940518856048584,18900,166751
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,3.462322950363159,0,125050,4600,68469,355,125050.0,4600.0,0.2780265808105469,18900,79375496
glass,3,2,0.0117561817169189,0,382,220,174,137,382.0,219.24,0.03270149230957031,2631,497
glass,3,3,0.0218760967254638,0,1021,341,675,240,1256.9125,368.865,0.04645419120788574,4050,4992
glass,3,5,0.0232372283935546,0,1089,405,743,264,1235.273125,433.91475,0.048416852951049805,4124,206368
molecular_promoter,+,2,0.3918726444244385,0,25879,427,9894,442,25879.0,652.625,0.2236804962158203,22828,26107
