dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
qsar,RB,3,0.9062790870666504,0,29047,15138,21051,591,34014.975,20883.85,0.19346141815185547,14812,349633
qsar,RB,5,97.05795788764954,0,421035,339726,401571,1008,543552.118125,836384.104,0.23628473281860352,18198,275584033
internet,ad.,2,29.056050777435303,0,1435386,1209887,875942,896,1435386.0,1253471.805,2.709709882736206,172308,4831387
robot4,normal,2,0.0118060111999511,0,259,185,105,104,259.0,185.13,0.08231067657470703,2128,407
robot4,normal,3,0.022641897201538,0,882,269,501,217,916.1583333333333,265.3566666666667,0.04916882514953613,3458,3683
robot4,normal,5,0.0247278213500976,0,963,317,582,275,1117.3116666666667,368.4798333333333,0.052925825119018555,3734,122438
mw1,2,2,0.102726936340332,0,6912,2590,2669,367,6912.0,2255.76,0.12778759002685547,11726,8002
mw1,2,3,0.7883636951446533,0,36284,14067,27823,712,43946.64375,25482.99,0.1789543628692627,15797,333502
mw1,2,5,79.62264060974121,0,460673,413311,450450,1201,537630.800625,661758.7567500001,0.20769286155700684,18070,254565277
polish_bankruptcy_5year,1,2,0.7067649364471436,0,32386,10284,10137,515,32386.0,12868.91,0.32462215423583984,25555,32641
polish_bankruptcy_5year,1,3,8.29175329208374,0,296994,80275,259665,901,671235.6875,173261.86666666667,0.5007946491241455,37063,2763776
grammatical_b8,1,2,3.11272931098938,0,178481,1633,142114,660,178481.0,1764.16,0.867150068283081,60671,686207
grammatical_b8,1,3,3.2379252910614014,0,184747,4777,148363,737,181920.41666666666,7943.6866666666665,1.0630598068237305,61222,267621512
grammatical_b8,1,5,4.138218402862549,0,199331,15944,162937,762,182278.76166666666,121010.648,1.0857884883880615,61444,18270601185176
heart_va,3,2,0.0457074642181396,0,58,39,25,22,58.0,39.1,0.017991304397583008,913,92
heart_va,3,3,0.0087888240814208,0,91,68,40,34,95.3125,72.13333333333334,0.017595291137695312,1409,378
heart_va,3,5,0.0072004795074462,0,100,77,43,37,106.66145833333334,79.7375,0.019932985305786133,1594,1093
