dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
cardio3,2,3,0.33479905128479,0,15754,5406,7558,697,15848.944852941177,6137.220588235294,0.08051609992980957,5916,52463
cardio3,2,5,3.8729615211486816,0,195556,38335,110371,1510,178190.8747242647,56691.0205882353,0.094390869140625,6575,11290976
volcanoes-d4,3,2,0.0094196796417236,0,61,60,17,17,61.0,61.0,0.006364107131958008,146,79
volcanoes-d4,3,3,0.0113182067871093,0,125,95,36,36,134.66666666666666,103.0,0.007348775863647461,229,299
volcanoes-d4,3,5,0.0109918117523193,0,125,95,36,36,138.91666666666666,93.5,0.007375001907348633,227,299
pitt2_3,LONG,2,0.0080189704895019,0,196,72,89,40,184.3913043478261,66.41304347826087,0.0066454410552978516,393,277
pitt2_3,LONG,3,0.0124886035919189,0,438,119,194,64,501.9402173913044,145.8695652173913,0.008766412734985352,544,2048
pitt2_3,LONG,5,0.0138068199157714,0,515,128,221,69,556.8275815217391,116.15036231884058,0.008831977844238281,530,44552
grammatical_b5,1,2,6.365192413330078,0,301521,9300,217117,735,257132.02303465764,7358.077345731192,7.866690397262573,597417,700337
grammatical_b5,1,3,66.62104988098145,0,3255012,140729,2784666,1135,2034528.916701888,126373.87052690898,8.532085418701172,626657,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1048860549926757,0,276,276,139,134,276.0,276.0,0.09037446975708008,627,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.1849853992462158,0,1526,1526,768,293,1651.0,1526.0,0.10105490684509277,1102,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.4581193923950195,0,7776,4651,3955,410,10859.333333333332,4651.0,0.12314510345458984,1677,68406
pitt1_4,S,2,0.0081920623779296,0,205,66,94,34,199.5625,64.75,0.012906551361083984,434,301
pitt1_4,S,3,0.0135319232940673,0,389,92,174,44,426.625,100.25,0.008569717407226562,531,2325
pitt1_4,S,5,0.0121772289276123,0,435,93,192,44,683.3515625,132.5,0.009341716766357422,597,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,4.0106072425842285,0,4601,2801,2224,365,4601.0,2738.0,4.086030721664429,10002,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,28.23971271514893,0,76601,27704,39431,567,83021.0,32147.0,5.619273662567139,15855,166751
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,396.0974721908569,0,1266011,90637,664413,740,1525658.3,105971.0,6.115360736846924,17922,79375496
gesture_va,P,2,0.2789697647094726,0,8065,7734,4281,469,8065.0,7740.0,0.3580904006958008,16386,8257
gesture_va,P,3,6.994492292404175,0,290585,55067,154653,720,312116.6666666667,138384.16666666666,0.49086689949035645,31455,349633
gesture_va,P,5,49.31383347511292,0,2205253,162511,1499212,1256,12402264.234375,2089861.525,0.5706872940063477,37210,275584033
connectionist_vowel,4,2,0.0369343757629394,0,1536,958,583,294,1529.4406779661017,953.5762711864406,0.04513192176818848,3365,1771
connectionist_vowel,4,3,0.2161779403686523,0,11314,3530,5098,507,13983.216101694916,4988.983050847458,0.06705451011657715,5061,34280
connectionist_vowel,4,5,0.6996586322784424,0,37930,4799,19292,763,91570.56043432203,12398.556355932204,0.07642078399658203,6109,5495792
breast_cancer_wis_pro,R,2,0.2086875438690185,0,11507,5380,4649,421,10347.051948051949,5173.415584415585,0.21924471855163574,20946,11936
breast_cancer_wis_pro,R,3,4.566087484359741,0,289197,10544,107462,463,239731.14285714287,13144.870129870129,0.33043503761291504,32276,608840
breast_cancer_wis_pro,R,5,9.426490545272827,0,604655,14580,231811,557,776256.3836038961,45692.42987012987,0.34375953674316406,33349,699135746
diggle_table_a2,8,2,0.0100378990173339,0,289,104,76,70,250.8125,109.375,0.010585546493530273,546,529
diggle_table_a2,8,3,0.0204322338104248,0,889,235,266,196,829.4544270833334,256.3541666666667,0.014177799224853516,816,5489
diggle_table_a2,8,5,0.039330244064331,0,2037,512,612,258,1761.5104166666667,472.9625,0.017422914505004883,966,242825
page,5,2,0.0310409069061279,0,737,475,244,185,739.83125,492.4,0.02753281593322754,1562,821
page,5,3,0.1040475368499755,0,4217,1571,1671,385,4514.096875,2135.7625,0.03856706619262695,2310,10701
page,5,5,0.2919516563415527,0,13933,3281,5975,670,32299.89875,9229.366875,0.04944109916687012,3007,760099
steel-plates-fault,2,2,0.1493754386901855,0,6263,4735,3352,498,5956.862831858407,4232.70796460177,0.15838956832885742,12093,6442
steel-plates-fault,2,3,1.9800565242767332,0,99532,24298,56747,995,144519.0615781711,45831.87758112094,0.27109861373901367,20623,240578
steel-plates-fault,2,5,2.953411817550659,0,146804,37253,82449,1554,3401731.302452065,692420.4258112095,0.3182709217071533,23934,147043850
mechanical,4,2,0.0228123664855957,0,372,270,155,147,343.75,262.0,0.019997835159301758,812,466
mechanical,4,3,0.0680861473083496,0,2284,1247,772,318,2125.0375,1359.1,0.027469873428344727,1339,4526
mechanical,4,5,0.2975764274597168,0,13582,4770,3650,510,13718.00078125,5484.535,0.03600311279296875,1871,174437
OnlineShoppersIntention,True,2,0.129671573638916,0,3467,1664,1429,306,3269.222222222222,1767.6666666666667,0.1260852813720703,7202,4096
OnlineShoppersIntention,True,3,1.0568645000457764,0,42730,11416,17715,699,41503.22222222222,16330.037037037036,0.1843111515045166,10580,121576
OnlineShoppersIntention,True,5,15.525556325912476,0,700345,89490,318220,985,857207.4875,168327.59259259258,0.2131633758544922,12370,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.1327404975891113,0,4601,4601,2264,410,4601.0,4601.0,0.15763640403747559,10002,5051
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.709634304046631,0,124601,30599,68469,649,127976.0,59081.0,0.28926897048950195,18902,166751
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,12.59476351737976,0,634601,30599,326461,649,1111286.0,60536.0,0.3219735622406006,22531,79375496
glass,3,2,0.0131621360778808,0,414,221,174,137,392.7983870967742,230.5,0.01432037353515625,839,497
glass,3,3,0.0377652645111084,0,1778,556,779,264,1848.258064516129,520.0967741935484,0.017972469329833984,1261,4992
glass,3,5,0.0585708618164062,0,2697,816,1290,318,3454.2545362903224,666.4048387096774,0.019766569137573242,1369,206368
molecular_promoter,+,2,0.4815208911895752,0,25605,1846,9894,478,25611.184210526317,1230.0855263157894,0.485975980758667,51758,26107
molecular_promoter,+,3,1.7550981044769287,0,100629,1412,58224,591,91802.67507309941,2834.18567251462,0.5263898372650146,53798,1975583
molecular_promoter,+,5,2.444289445877075,0,137961,1312,94215,604,115456.41887107091,2316.9226973684213,0.5258636474609375,53557,5024313128
blood,1,2,0.0068349838256835,0,113,98,46,46,113.0,94.5,0.005832195281982422,258,137
blood,1,3,0.0108716487884521,0,321,179,102,84,340.58333333333337,188.0,0.0067937374114990234,397,697
blood,1,5,0.0122835636138916,0,385,204,123,96,462.28125,192.125,0.007544755935668945,432,2517
weight,B,2,2.6526529788970947,0,152702,1501,68242,432,154971.31984667803,1340.2887563884158,2.8292782306671143,319917,172579
weight,B,3,5.120625019073486,0,287505,1634,159731,535,296935.30905735376,2731.415956842703,2.9232091903686523,321596,33710824
weight,B,5,7.6773035526275635,0,427365,1566,275043,592,378063.6515074886,2542.6466496308917,2.9542996883392334,321238,575871962176
ozone1,1,2,0.8484025001525879,0,39341,15084,13123,557,39314.31993006993,17878.46153846154,0.9348373413085938,79796,41042
ozone1,1,3,19.626569747924805,0,1016721,227188,596460,1066,1143319.6368006994,323942.11188811186,1.2847816944122314,107611,3899182
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.3054141998291015,0,276,276,0,0,276.0,276.0,0.21937108039855957,627,326
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4573211669921875,0,1526,1526,0,0,1634.3333333333333,1526.0,0.2532963752746582,1102,2626
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,1.0371065139770508,0,7776,4651,0,0,11767.666666666666,4651.0,0.3155667781829834,1677,68406
ionosphere,b,2,0.1581747531890869,0,8070,862,3571,374,8071.5,1090.0,0.19399094581604004,16386,8257
ionosphere,b,3,0.4917726516723633,0,26460,1763,14665,637,36715.416666666664,4281.166666666667,0.19996285438537598,17927,349633
ionosphere,b,5,2.456337213516236,0,141037,10778,59448,948,316098.63645833335,17559.24166666667,0.2086195945739746,18715,275584033
grammatical_b7,1,2,4.752242803573608,0,232981,26034,130941,1072,198234.3857685811,17432.451858108107,6.3544111251831055,477154,701521
grammatical_b7,1,3,184.86706733703613,0,9482496,1043990,6448449,2516,4802376.569925394,587788.7533783783,8.054855108261108,573541,276633905
wine_quality,4,2,0.044152021408081,0,1015,1003,440,246,1015.0,1002.5,0.05022883415222168,2118,1082
