dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
statlog_ls,5,3,0.4762060642242431,0,17154,5763,10373,805,15901.368421052632,7865.347826086957,0.3069171905517578,22157,497785
statlog_ls,5,5,10.130386352539062,0,106205,65553,99424,1234,139800.02263157893,206102.65282608697,0.3338913917541504,24429,498685189
EqualDist_Random-Synthetic__2_14_5644_,1,2,0.080674409866333,0,2701,2526,1265,340,2701.0,2524.1637931034484,0.08094906806945801,5257,2702
EqualDist_Random-Synthetic__2_14_5644_,1,3,1.3474781513214111,0,52966,48639,27167,667,53241.01315789474,53192.456896551725,0.1397390365600586,10054,64898
EqualDist_Random-Synthetic__2_14_5644_,1,5,112.88414239883424,0,621857,105060,379652,807,910016.0629385965,230026.21997126436,0.20095205307006836,15162,16173662
thyroid_sick,sick.,2,0.0492639541625976,0,1775,1080,679,297,1775.0,1230.3235294117646,0.054361820220947266,3718,2081
thyroid_sick,sick.,3,0.3694896697998047,0,13877,5989,7190,589,14041.60752688172,10978.434640522875,0.08059144020080566,5759,43745
thyroid_sick,sick.,5,11.544828176498411,0,123519,106052,98374,929,317060.6115591398,391513.54003267974,0.1116950511932373,8351,8303633
BreastCancerWisconsin_UCI_,4,2,0.0511505603790283,0,3015,162,1830,169,3015.0,238.59154929577466,0.06934237480163574,6777,4006
BreastCancerWisconsin_UCI_,4,3,0.0526216030120849,0,3100,179,1915,184,3045.1960784313724,200.45305164319248,0.07485127449035645,7032,117570
BreastCancerWisconsin_UCI_,4,5,0.0528602600097656,0,3103,180,1918,185,3030.6013071895422,189.42723004694835,0.07420778274536133,7018,44066838
pamap2,1,2,1.431058645248413,0,19715,1087,2516,377,19715.0,1012.8461538461538,0.9718735218048096,41779,22579
pamap2,1,3,2.0122616291046143,0,31525,6849,14326,712,26270.704697986577,9079.686390532544,1.0235748291015625,43674,1588199
pamap2,1,5,5.754559516906738,0,87833,18063,70634,1385,82436.99261744966,146051.41952662723,1.0853540897369385,45221,3486423476
U_LVL1_2_Uninteresting_Non-Random-Synthetic__2_2_400_,1,2,0.0043740272521972,0,10,8,0,0,10.0,8.0,0.022812843322753906,13,11
U_LVL1_2_Uninteresting_Non-Random-Synthetic__2_2_400_,1,3,0.0044822692871093,0,10,8,0,0,10.0,8.0,0.001928091049194336,13,11
U_LVL1_2_Uninteresting_Non-Random-Synthetic__2_2_400_,1,5,0.0044798851013183,0,10,8,0,0,10.0,8.0,0.0019505023956298828,13,11
visualizing_livestock,4,2,0.0049786567687988,0,33,3,2,2,33.0,3.0,0.003040790557861328,90,466
visualizing_livestock,4,3,0.0049529075622558,0,33,3,2,2,33.0,3.0,0.0036759376525878906,90,466
visualizing_livestock,4,5,0.0050430297851562,0,33,3,2,2,33.0,3.0,0.003692150115966797,90,466
volcanoes-a2,4,2,0.0062787532806396,0,67,41,22,22,67.0,41.55555555555556,0.0038025379180908203,122,79
volcanoes-a2,4,3,0.0069990158081054,0,88,60,41,41,83.29629629629629,52.35185185185185,0.004465341567993164,161,299
volcanoes-a2,4,5,0.0069248676300048,0,88,60,41,41,85.74074074074075,53.574074074074076,0.004278659820556641,163,299
blogger,no,2,0.0066392421722412,0,106,49,44,18,106.0,52.5,0.004366159439086914,210,121
blogger,no,3,0.0072596073150634,0,144,76,50,22,181.05555555555554,84.58333333333333,0.0052335262298583984,292,576
blogger,no,5,0.0074474811553955,0,157,85,52,23,193.69444444444443,81.86111111111111,0.005591154098510742,311,4944
grammatical_a5,1,2,3.385068893432617,0,201852,8648,182752,617,201852.0,8758.123949579833,9.136139392852783,754461,709837
grammatical_a5,1,3,7.909031629562378,0,381634,148827,362523,673,409065.24034334766,174008.2482492997,9.801208734512329,786838,281569472
prnn_crabs,1,2,0.0120630264282226,0,351,174,109,85,351.0,187.2,0.01794266700744629,651,352
prnn_crabs,1,3,0.0174899101257324,0,716,409,303,177,816.6166666666667,403.43333333333334,0.012571334838867188,906,2952
prnn_crabs,1,5,0.0242528915405273,0,996,609,474,225,1190.6483333333333,718.7591666666667,0.014578104019165039,1047,83682
hepatitis,1,2,0.0217535495758056,0,996,482,459,185,996.0,454.85,0.026300430297851562,2200,1276
hepatitis,1,3,0.0603737831115722,0,3347,1223,1656,336,2838.5,1836.8166666666666,0.03748178482055664,3116,20876
hepatitis,1,5,0.1060006618499755,0,4967,2027,3149,466,4604.66,2377.6683333333335,0.04193472862243652,3402,2369936
