dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
volcanoes-d4,3,5,0.0130045413970947,0,125,95,36,36,140.42,93.14,0.02911067008972168,1800,299
pitt2_3,LONG,2,0.0079579353332519,0,196,72,40,40,184.3525,72.4,0.020560264587402344,1625,277
pitt2_3,LONG,3,0.0118076801300048,0,438,119,64,64,435.62666666666667,112.52000000000001,0.0269472599029541,2130,2048
pitt2_3,LONG,5,0.0112452507019042,0,515,128,69,69,576.554453125,122.16041666666666,0.029387950897216797,2262,44552
grammatical_b5,1,2,2.296348810195923,0,128371,5251,4865,1405,118913.705,2433.895,0.4215517044067383,25185,700337
grammatical_b5,1,3,31.820104122161865,0,1802632,50769,49635,3551,747656.49625,24409.881666666668,0.6714417934417725,26984,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1035540103912353,0,276,276,139,136,276.0,276.0,0.15386176109313965,2427,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.1748440265655517,0,1526,1526,768,303,1619.75,1526.0,0.2108781337738037,4327,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.4276039600372314,0,7776,4651,2291,448,12304.645833333332,4651.0,0.2938969135284424,6627,68406
pitt1_4,S,2,0.0066008567810058,0,205,66,34,34,199.285,68.95,0.026513099670410156,1726,301
pitt1_4,S,3,0.0088999271392822,0,389,92,44,44,433.3075,94.84,0.026636123657226562,2144,2325
pitt1_4,S,5,0.0093889236450195,0,435,93,44,44,482.5605625,85.27,0.027724027633666992,2177,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,3.7618331909179688,0,4601,2801,1414,319,4601.0,2720.0,4.093130826950073,10002,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,23.480052709579468,0,76601,27704,14070,592,72350.0,25817.0,5.380446672439575,15092,166751
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,308.9562077522278,0,1266011,90637,45172,857,987035.6,67307.0,5.999865770339966,17476,79375496
gesture_va,P,2,0.2652239799499511,0,8065,2837,1985,453,8065.0,2952.68,0.3044145107269287,12830,8257
gesture_va,P,3,1.7066926956176758,0,76505,5150,4234,795,92906.92,6957.16,0.28361964225769043,16513,349633
gesture_va,P,5,7.179196357727051,0,390501,22739,14700,1915,457588.77466666664,18351.133333333335,0.28140759468078613,16862,275584033
connectionist_vowel,4,2,0.0325205326080322,0,1492,660,479,312,1545.135,459.85,0.07097339630126953,5661,1771
connectionist_vowel,4,3,0.0788915157318115,0,4348,1007,845,448,5450.68,975.32,0.07948470115661621,6536,34280
connectionist_vowel,4,5,0.2041985988616943,0,14698,1526,1388,812,14727.73578125,1655.596,0.09091663360595703,7014,5495792
breast_cancer_wis_pro,R,2,0.1683011054992675,0,11507,1952,1449,420,10318.28,1820.0,0.1637406349182129,13656,11936
breast_cancer_wis_pro,R,3,0.9766566753387452,0,94875,2452,1810,524,85995.48,4102.306666666666,0.1849689483642578,16156,608840
breast_cancer_wis_pro,R,5,1.7455642223358154,0,177193,3534,2371,610,128657.10325,4595.782666666667,0.17793059349060059,15999,699135746
diggle_table_a2,8,2,0.0086324214935302,0,289,104,70,70,252.64,107.335,0.02422618865966797,1634,529
diggle_table_a2,8,3,0.0160975456237792,0,825,223,205,200,653.0891666666666,187.54666666666668,0.03274941444396973,2201,5489
diggle_table_a2,8,5,0.0323164463043212,0,1937,500,490,349,1072.72478125,258.28933333333333,0.04016757011413574,2473,242825
page,5,2,0.0261428356170654,0,629,343,216,188,737.6375,210.82,0.05635333061218262,3842,821
page,5,3,0.0514755249023437,0,2005,601,480,383,1820.57,483.3,0.0663611888885498,4355,10701
page,5,5,0.0956189632415771,0,4785,991,914,620,5632.291671875,1313.00225,0.0733027458190918,4731,760099
steel-plates-fault,2,2,0.1328258514404297,0,6069,2356,1721,553,5963.4225,1634.355,0.14241909980773926,10715,6442
steel-plates-fault,2,3,0.5964038372039795,0,32499,6954,5641,1142,45004.33416666667,7147.708333333333,0.17783260345458984,13026,240578
steel-plates-fault,2,5,0.6581559181213379,0,38550,9812,8972,1697,364192.28805208334,82499.72983333333,0.19655847549438477,13920,147043850
mechanical,4,2,0.021503210067749,0,372,268,152,142,350.95,255.475,0.04667186737060547,2632,466
mechanical,4,3,0.060044527053833,0,2171,961,605,330,1707.25,729.82,0.06754732131958008,4030,4526
mechanical,4,5,0.124673843383789,0,5866,1441,1054,475,6523.3429375,1737.5095,0.08767032623291016,4898,174437
OnlineShoppersIntention,True,2,0.0990524291992187,0,2440,788,482,304,3312.4,724.2,0.1413431167602539,7992,4096
OnlineShoppersIntention,True,3,0.473947525024414,0,18702,3024,2092,757,17565.3,3663.5333333333333,0.16798949241638184,9412,121576
OnlineShoppersIntention,True,5,3.4249801635742188,0,162384,13178,9730,1172,137836.0625,15491.640000000001,0.18347525596618652,10237,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.1373064517974853,0,4601,4601,2264,412,4601.0,4601.0,0.16284465789794922,10002,5051
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.069133043289185,0,124601,7254,4425,743,128426.0,5726.0,0.2820265293121338,18902,166751
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,2.9197518825531006,0,191841,7254,4425,743,156076.625,6281.0,0.281815767288208,19008,79375496
