dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,1.0904123783111572,0,7825,4650,3955,216,7825.0,4650.0,0.11154818534851074,1675,68406
pitt1_4,S,2,0.0071022510528564,0,177,65,82,34,177.0,63.0,0.01125645637512207,432,301
pitt1_4,S,3,0.0078237056732177,0,223,91,101,44,233.875,67.5,0.007904291152954102,508,2325
pitt1_4,S,5,0.0078425407409667,0,224,92,101,44,273.125,82.6875,0.008126258850097656,535,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,5.662222385406494,0,5050,2800,2224,281,5050.0,2782.0,3.9046168327331543,10000,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,43.92037630081177,0,56890,27703,28709,304,61390.0,24043.0,5.269948959350586,15125,166751
gesture_va,P,2,0.8398106098175049,0,8256,1594,4281,398,8256.0,1656.5,0.3609910011291504,16384,8257
gesture_va,P,3,0.8450961112976074,0,24672,2024,20154,458,32911.60493827161,2914.3333333333335,0.31656765937805176,19882,349633
gesture_va,P,5,0.8567099571228027,0,24982,2125,20463,482,28980.681481481482,3064.4333333333334,0.3154609203338623,19640,275584033
connectionist_vowel,4,2,0.0331294536590576,0,1655,296,583,304,1655.0,327.99152542372883,0.04331636428833008,3363,1771
connectionist_vowel,4,3,0.0786881446838378,0,2419,420,1316,392,2884.8846153846152,541.5,0.04831719398498535,3953,34280
connectionist_vowel,4,5,0.0794293880462646,0,2467,451,1364,401,3002.1974358974358,799.706779661017,0.05163908004760742,4056,5495792
breast_cancer_wis_pro,R,2,0.1659266948699951,0,9334,964,4187,380,9334.0,995.2727272727273,0.22186756134033203,20944,11936
breast_cancer_wis_pro,R,3,0.2132711410522461,0,11938,1357,6708,445,13270.049751243781,1430.3549783549784,0.2522566318511963,22571,608840
breast_cancer_wis_pro,R,5,0.229835033416748,0,12632,1846,7401,501,13102.23184079602,3415.6900432900434,0.23621439933776855,22749,699135746
