dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
cardio3,2,5,3.072521209716797,0,192336,38975,30644,1672,206288.8541360294,48304.725735294116,0.09486842155456543,6747,11290976
volcanoes-d4,3,2,0.0095462799072265,0,61,60,17,17,61.0,60.0,0.006489753723144531,146,79
volcanoes-d4,3,3,0.011061668395996,0,125,95,36,36,134.16666666666666,90.83333333333333,0.0072290897369384766,227,299
volcanoes-d4,3,5,0.0110318660736083,0,125,95,36,36,132.58333333333334,95.0,0.007637977600097656,229,299
pitt2_3,LONG,2,0.0074813365936279,0,196,72,40,40,182.3586956521739,73.43478260869566,0.007298707962036133,393,277
pitt2_3,LONG,3,0.0106527805328369,0,438,119,64,64,498.5833333333333,143.40579710144928,0.00960850715637207,542,2048
pitt2_3,LONG,5,0.0117766857147216,0,515,128,69,69,595.7166213768116,128.74637681159422,0.009714603424072266,539,44552
grammatical_b5,1,2,2.958292007446289,0,177954,11229,10617,1232,256825.20245139475,7702.143279797126,7.886118173599243,597417,700337
grammatical_b5,1,3,54.31504464149475,0,3432426,154754,153283,3142,2036084.2391518739,129379.82290786137,8.618123531341553,627241,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1451294422149658,0,276,276,139,135,276.0,276.0,0.09164047241210938,627,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2757384777069092,0,1526,1526,768,289,1626.0,1526.0,0.10123705863952637,1102,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.6069724559783936,0,7776,4651,2291,410,12517.666666666666,4651.0,0.12347841262817383,1677,68406
pitt1_4,S,2,0.0106651782989501,0,205,66,34,34,200.6875,64.375,0.013041257858276367,434,301
pitt1_4,S,3,0.0142099857330322,0,389,92,44,44,393.0,74.625,0.008266448974609375,515,2325
pitt1_4,S,5,0.0131785869598388,0,435,93,44,44,390.49609375,65.875,0.008310794830322266,505,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,4.403478622436523,0,4601,2801,1414,354,4601.0,2882.0,4.106273174285889,10002,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,27.558708429336548,0,76601,27704,14070,558,74615.0,26525.0,5.415916919708252,15179,166751
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,315.0062663555145,0,1266011,90637,45172,746,1570340.75,104960.0,6.38660740852356,18946,79375496
gesture_va,P,2,0.280726671218872,0,8065,7738,4220,471,8065.0,7728.5,0.35482192039489746,16386,8257
gesture_va,P,3,6.215773344039917,0,291229,56719,38995,769,314177.25,145043.33333333334,0.48920297622680664,31538,349633
gesture_va,P,5,42.06213355064392,0,2266257,175712,133230,1734,10995008.336458333,2259929.6750000003,0.5653126239776611,36996,275584033
connectionist_vowel,4,2,0.0351753234863281,0,1536,960,562,285,1502.1483050847457,916.8644067796611,0.045105695724487305,3365,1771
