dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,2,0.003612995147705078,0,4,0,0,0
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,3,0.0035583972930908203,0,4,0,0,0
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,5,0.0036661624908447266,0,4,0,0,0
thyroid_new_thyroid,2,2,0.006501436233520508,0,125,58,43,31
thyroid_new_thyroid,2,3,0.007620573043823242,0,176,71,89,44
thyroid_new_thyroid,2,5,0.007767200469970703,0,183,77,96,50
Balance_UCI_,R,2,0.00790858268737793,0,210,164,75,75
Balance_UCI_,R,3,0.01521444320678711,0,658,164,307,75
Balance_UCI_,R,5,0.01526331901550293,0,658,164,307,75
vert2,NO,2,0.009390115737915039,0,277,157,128,115
vert2,NO,3,0.015653371810913086,0,686,224,456,157
vert2,NO,5,0.01619434356689453,0,711,238,481,170
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,2,18.098273515701294,0,1225,1078,0,0
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,3,111.6698386669159,0,13230,13083,0,0
U_LVL3_1_Uninteresting_Non-Random-Synthetic__2_7_8235430_,0,5,-1.0,1,-1,-1,-1,-1
rmftsa_sleepdata,3,2,0.050363779067993164,0,36,21,7,7
rmftsa_sleepdata,3,3,0.0052490234375,0,36,21,7,7
rmftsa_sleepdata,3,5,0.006175994873046875,0,36,21,7,7
thoracic-surgery,1,2,0.04110908508300781,0,826,478,446,232
thoracic-surgery,1,3,0.08286523818969727,0,3407,2444,1924,379
thoracic-surgery,1,5,1.4842565059661865,0,18952,14776,10153,551
kc3,2,2,0.09436964988708496,0,6334,788,2650,347
kc3,2,3,0.18883061408996582,0,11834,4408,7861,486
kc3,2,5,8.219826221466064,0,98641,88653,93990,626
tae,2,2,0.007112264633178711,0,121,69,49,33
tae,2,3,0.0083465576171875,0,200,123,84,58
tae,2,5,0.008919477462768555,0,217,137,93,65
leaf,32,2,0.021851539611816406,0,1017,216,547,235
leaf,32,3,0.032079458236694336,0,1650,285,1180,344
leaf,32,5,0.0335385799407959,0,1736,333,1266,394
australian,1,2,0.020120859146118164,0,822,320,364,242
australian,1,3,0.041646718978881836,0,1981,451,1267,364
australian,1,5,0.04349660873413086,0,2083,507,1363,408
dermatology,4,2,0.04270172119140625,0,2278,550,1330,417
dermatology,4,3,0.1093742847442627,0,6372,2051,5413,760
dermatology,4,5,1.4256153106689453,0,32706,27245,31747,1244
Heart_Statlog__UCI_,2,2,0.0180513858795166,0,781,251,373,219
Heart_Statlog__UCI_,2,3,0.029741525650024414,0,1503,351,997,313
Heart_Statlog__UCI_,2,5,0.03184962272644043,0,1596,391,1088,337
Census-Income_KDD__UCI_,50000+,2,5.509300947189331,0,13344,460,7602,485
Census-Income_KDD__UCI_,50000+,3,7.767579555511475,0,15482,1898,9550,688
Census-Income_KDD__UCI_,50000+,5,31.238213300704956,0,36750,21673,30394,869
japanese,+,2,0.028365373611450195,0,1387,293,580,266
japanese,+,3,0.04518580436706543,0,2330,443,1364,395
japanese,+,5,0.04891705513000488,0,2496,524,1524,455
heart_hungarian,1,2,0.0060307979583740234,0,78,51,28,22
heart_hungarian,1,3,0.007083415985107422,0,133,89,50,39
heart_hungarian,1,5,0.00738525390625,0,143,99,57,46
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,2,0.356048583984375,0,301,251,182,131
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,3,0.6242284774780273,0,1356,436,990,186
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,5,0.6484196186065674,0,1356,436,990,186
forest,h ,2,0.08103728294372559,0,5158,237,2171,263
forest,h ,3,0.0866081714630127,0,5450,301,2463,347
forest,h ,5,0.0890812873840332,0,5493,325,2506,371
robot5,bottom_collision,2,0.013398408889770508,0,353,197,140,131
robot5,bottom_collision,3,0.025002479553222656,0,940,279,640,214
robot5,bottom_collision,5,0.025995969772338867,0,978,297,678,226
pen,6,2,0.07867622375488281,0,1490,182,446,229
pen,6,3,0.09971213340759277,0,1891,256,847,338
pen,6,5,0.09695124626159668,0,1973,294,929,386
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,2,1.8704354763031006,0,1225,1078,0,0
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,3,9.552775859832764,0,13230,13083,0,0
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,5,67.31217288970947,0,97265,13083,0,0
robot3,slightly_moved,2,0.011980056762695312,0,379,309,167,145
robot3,slightly_moved,3,0.03600716590881348,0,1853,428,999,234
robot3,slightly_moved,5,0.03776407241821289,0,1881,452,1027,247
DefaultofCreditCard,1,2,0.4278905391693115,0,6019,1438,2849,315
DefaultofCreditCard,1,3,1.2166855335235596,0,16594,3594,8980,341
DefaultofCreditCard,1,5,1.993330478668213,0,23028,8495,13058,344
zoo,7,2,0.01051473617553711,0,312,153,184,129
zoo,7,3,0.019029855728149414,0,837,384,679,286
zoo,7,5,0.03494596481323242,0,1644,706,1486,436
breast_tissue,gla,2,0.010903358459472656,0,387,92,159,53
breast_tissue,gla,3,0.012495756149291992,0,475,159,221,106
breast_tissue,gla,5,0.013901948928833008,0,540,214,284,150
flare, B,2,0.010727405548095703,0,231,170,90,84
flare, B,3,0.022097349166870117,0,849,335,374,207
flare, B,5,0.03203439712524414,0,1295,531,820,344
banana,1,2,0.006335020065307617,0,36,24,13,13
banana,1,3,0.006347179412841797,0,36,24,13,13
banana,1,5,0.006484031677246094,0,36,24,13,13
polish_bankruptcy_2year,1,2,0.7765564918518066,0,31881,1003,13178,398
polish_bankruptcy_2year,1,3,0.8717656135559082,0,35450,1986,16747,496
polish_bankruptcy_2year,1,5,1.0190770626068115,0,38578,4336,19875,575
polish_bankruptcy_3year,1,2,0.8273401260375977,0,32133,1251,13844,422
polish_bankruptcy_3year,1,3,1.019819736480713,0,38341,3581,20050,513
polish_bankruptcy_3year,1,5,3.487504720687866,0,69920,31949,51629,560
qualitative,B,2,0.007692098617553711,0,154,95,60,52
qualitative,B,3,0.010832548141479492,0,321,161,189,127
qualitative,B,5,0.012203454971313477,0,372,189,240,159
mfeat-morphological,8,2,0.009761571884155273,0,192,101,42,39
mfeat-morphological,8,3,0.013288021087646484,0,351,187,121,109
mfeat-morphological,8,5,0.015689849853515625,0,445,234,201,159
fourclass,1,2,0.004979372024536133,0,36,19,12,12
fourclass,1,3,0.004863739013671875,0,36,19,12,12
fourclass,1,5,0.004822969436645508,0,36,19,12,12
liver,1,2,0.010185480117797852,0,300,244,131,122
liver,1,3,0.02638554573059082,0,1312,339,634,165
liver,1,5,0.027309417724609375,0,1342,346,661,167
badges2,1,2,0.011661767959594727,0,355,263,181,138
badges2,1,3,0.029022216796875,0,1460,419,872,291
badges2,1,5,0.03292131423950195,0,1623,492,997,353
kc1-binary,1,2,0.39358997344970703,0,26625,1412,18200,393
kc1-binary,1,3,0.5770370960235596,0,34726,6658,25395,467
kc1-binary,1,5,10.495849609375,0,105258,76455,82454,528
tao,black,2,0.005231618881225586,0,36,22,12,12
tao,black,3,0.0052738189697265625,0,36,22,12,12
tao,black,5,0.0050542354583740234,0,36,22,12,12
ND_LVL_2_4_NormalDist_Random-Synthetic__2_10_10000000_,0,2,58.97845935821533,0,5050,2800,2327,325
ND_LVL_2_4_NormalDist_Random-Synthetic__2_10_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ND_LVL_2_4_NormalDist_Random-Synthetic__2_10_10000000_,0,5,-1.0,1,-1,-1,-1,-1
breast_cancer_wis_pro2,R,2,0.20634102821350098,0,8796,928,3938,339
breast_cancer_wis_pro2,R,3,0.16856956481933594,0,11313,1320,6372,404
breast_cancer_wis_pro2,R,5,0.18780827522277832,0,12007,1809,7065,460
soybean_small,D3,2,0.014075994491577148,0,493,199,313,165
soybean_small,D3,3,0.02511882781982422,0,1204,334,1013,336
soybean_small,D3,5,0.0345921516418457,0,1686,796,1495,428
U_LVL1_3_Uninteresting_Non-Random-Synthetic__2_2_4000_,0,2,0.00648188591003418,0,10,8,0,0
U_LVL1_3_Uninteresting_Non-Random-Synthetic__2_2_4000_,0,3,0.005257368087768555,0,10,8,0,0
U_LVL1_3_Uninteresting_Non-Random-Synthetic__2_2_4000_,0,5,0.005194425582885742,0,10,8,0,0
semeion,8,2,2.7619707584381104,0,92318,15226,55399,762
semeion,8,3,19.987120866775513,0,694498,118950,655606,1443
semeion,8,5,-1.0,1,-1,-1,-1,-1
ED_LVL_3_0_EqualDist_Random-Synthetic__2_20_1000_,0,2,1.250009536743164,0,80200,415,41287,167
ED_LVL_3_0_EqualDist_Random-Synthetic__2_20_1000_,0,3,1.2634103298187256,0,80200,415,41287,167
ED_LVL_3_0_EqualDist_Random-Synthetic__2_20_1000_,0,5,1.2628374099731445,0,80200,415,41287,167
molecular_splice,IE,2,0.5856554508209229,0,27316,594,13007,448
molecular_splice,IE,3,0.6043519973754883,0,27616,722,13307,545
molecular_splice,IE,5,0.6022014617919922,0,27645,749,13336,562
audiology_std,cochlear_noise_and_heredity,2,0.03871917724609375,0,1900,1830,1832,234
audiology_std,cochlear_noise_and_heredity,3,0.665045976638794,0,36120,36050,36052,397
audiology_std,cochlear_noise_and_heredity,5,-1.0,1,-1,-1,-1,-1
automobile,-1,2,0.03948354721069336,0,2387,322,1141,283
automobile,-1,3,0.05657386779785156,0,3417,576,2144,422
automobile,-1,5,0.07513427734375,0,4255,1115,2976,539
volcanoes-d2,3,2,0.00985407829284668,0,78,55,17,17
volcanoes-d2,3,3,0.010983943939208984,0,125,86,36,36
volcanoes-d2,3,5,0.011081457138061523,0,125,86,36,36
grammatical_a2,1,2,0.27586936950683594,0,11929,1001,11175,765
grammatical_a2,1,3,0.4838223457336426,0,21333,7615,20579,826
grammatical_a2,1,5,36.70718479156494,0,232134,215015,231380,852
U_LVL2_3_Uninteresting_Non-Random-Synthetic__2_5_3125000_,0,2,3.152305841445923,0,325,275,0,0
U_LVL2_3_Uninteresting_Non-Random-Synthetic__2_5_3125000_,0,3,6.832662105560303,0,1575,1525,0,0
U_LVL2_3_Uninteresting_Non-Random-Synthetic__2_5_3125000_,0,5,26.971484661102295,0,7825,4650,0,0
analcatdata_authorship,4,2,0.48914074897766113,0,30403,445,14271,514
analcatdata_authorship,4,3,0.5214114189147949,0,31106,580,14974,621
analcatdata_authorship,4,5,0.5391275882720947,0,31223,658,15091,665
I_LVL3_1_Interesting_Non-Random-Synthetic__2_7_8235430_,1,2,17.017142057418823,0,1130,990,811,138
I_LVL3_1_Interesting_Non-Random-Synthetic__2_7_8235430_,1,3,97.72966575622559,0,11595,990,9658,138
I_LVL3_1_Interesting_Non-Random-Synthetic__2_7_8235430_,1,5,97.79801034927368,0,11595,990,9658,138
EqualDist_Random-Synthetic__2_7_8520_,0,2,0.029199838638305664,0,561,493,244,182
EqualDist_Random-Synthetic__2_7_8520_,0,3,0.11295199394226074,0,4067,3424,1973,238
EqualDist_Random-Synthetic__2_7_8520_,0,5,0.549429178237915,0,13342,3841,7615,238
cmc,3,2,0.015575647354125977,0,465,329,195,158
cmc,3,3,0.046091318130493164,0,2163,886,1147,290
cmc,3,5,0.07370281219482422,0,3133,1494,1902,338
Adult_UCI_,>50K,2,0.23889899253845215,0,3338,280,822,223
Adult_UCI_,>50K,3,0.2788515090942383,0,3857,409,1221,342
Adult_UCI_,>50K,5,0.29789113998413086,0,4021,486,1378,405
I_LVL1_2_Interesting_Non-Random-Synthetic__2_2_400_,1,2,0.004418611526489258,0,7,5,4,4
I_LVL1_2_Interesting_Non-Random-Synthetic__2_2_400_,1,3,0.004266262054443359,0,7,5,4,4
I_LVL1_2_Interesting_Non-Random-Synthetic__2_2_400_,1,5,0.004325151443481445,0,7,5,4,4
monks1,0,2,0.007706403732299805,0,137,119,80,80
monks1,0,3,0.013731956481933594,0,479,415,363,172
monks1,0,5,0.022816181182861328,0,861,426,702,173
ND_LVL_3_0_NormalDist_Random-Synthetic__2_20_1000_,0,2,0.35784053802490234,0,21610,2863,10606,355
ND_LVL_3_0_NormalDist_Random-Synthetic__2_20_1000_,0,3,1.0377330780029297,0,54311,2865,34739,355
ND_LVL_3_0_NormalDist_Random-Synthetic__2_20_1000_,0,5,1.0347840785980225,0,54311,2865,34739,355
grammatical_a1,1,2,0.34928441047668457,0,16070,2909,15374,626
grammatical_a1,1,3,1.3587455749511719,0,64672,36970,63976,715
grammatical_a1,1,5,-1.0,1,-1,-1,-1,-1
mfeat-zernike,8,2,0.3511006832122803,0,17766,858,7357,413
mfeat-zernike,8,3,0.41292786598205566,0,21143,1303,10734,449
mfeat-zernike,8,5,0.42606163024902344,0,21612,1751,11203,453
twonorm,1,2,0.10890603065490723,0,3240,269,1538,311
twonorm,1,3,0.13457846641540527,0,4362,269,2660,311
twonorm,1,5,0.1396956443786621,0,4362,269,2660,311
auto7_1,class3,2,0.021190643310546875,0,780,694,382,238
auto7_1,class3,3,0.12919211387634277,0,7169,1636,3875,325
auto7_1,class3,5,0.16767096519470215,0,8147,1892,4618,339
grammatical_b4,1,2,0.44499897956848145,0,22094,1542,21445,566
grammatical_b4,1,3,0.6255240440368652,0,29888,2979,29237,652
grammatical_b4,1,5,0.7463033199310303,0,32922,5052,32271,679
wave2,2,2,0.3226485252380371,0,12880,374,6245,419
wave2,2,3,0.3252220153808594,0,13556,465,6921,438
wave2,2,5,0.32936739921569824,0,13652,481,7017,438
volcanoes-d1,3,2,0.01137852668762207,0,78,56,15,15
volcanoes-d1,3,3,0.011881589889526367,0,128,89,35,35
volcanoes-d1,3,5,0.010944366455078125,0,128,89,35,35
mfeat-fourier,8,2,0.8159933090209961,0,43964,673,20433,396
mfeat-fourier,8,3,0.844745397567749,0,44992,842,21461,443
mfeat-fourier,8,5,0.8556003570556641,0,45115,921,21584,459
breast,recurrence-events,2,0.013012886047363281,0,476,256,217,132
breast,recurrence-events,3,0.02780437469482422,0,1449,558,749,208
breast,recurrence-events,5,0.03627300262451172,0,1794,752,918,215
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,2,3.066378116607666,0,301,251,182,148
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,3,6.127602577209473,0,1356,436,990,187
I_LVL2_3_Interesting_Non-Random-Synthetic__2_5_3125000_,1,5,6.1796910762786865,0,1356,436,990,187
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,2,33.146021127700806,0,325,275,0,0
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,3,70.70793962478638,0,1575,1525,0,0
U_LVL2_4_Uninteresting_Non-Random-Synthetic__2_5_31250000_,1,5,454.03592228889465,0,7825,4650,0,0
horse_colic_outcome,2,2,0.052742719650268555,0,70,0,36,0
horse_colic_outcome,2,3,0.0070018768310546875,0,70,0,36,0
horse_colic_outcome,2,5,0.0071294307708740234,0,70,0,36,0
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,2,0.11131572723388672,0,3259,1106,1607,274
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,3,0.37819695472717285,0,13155,1549,7169,300
ND_LVL_2_0_NormalDist_Random-Synthetic__2_10_1000_,1,5,0.23766326904296875,0,13252,1549,7263,300
wall4,Slight-Right-Turn,2,0.010513544082641602,0,82,59,33,33
wall4,Slight-Right-Turn,3,0.010781526565551758,0,156,120,78,75
wall4,Slight-Right-Turn,5,0.011955976486206055,0,180,138,98,90
hayes,2,2,0.007336616516113281,0,81,48,35,29
hayes,2,3,0.007361173629760742,0,121,64,71,44
hayes,2,5,0.006678104400634766,0,121,64,71,44
analcatdata_germangss,4,2,0.009342193603515625,0,171,134,27,25
analcatdata_germangss,4,3,0.01358342170715332,0,514,269,128,71
analcatdata_germangss,4,5,0.015360355377197266,0,572,286,155,77
thyroid_allhypo,primary hypothyroid.,2,0.039794921875,0,1099,412,556,297
thyroid_allhypo,primary hypothyroid.,3,0.11787009239196777,0,4095,1950,3353,624
thyroid_allhypo,primary hypothyroid.,5,2.08437180519104,0,26831,22250,25193,1037
user,High,2,0.008595466613769531,0,191,147,73,71
user,High,3,0.014302730560302734,0,592,149,326,71
user,High,5,0.01459646224975586,0,592,149,326,71
thyroid_dis,discordant.,2,0.04286599159240723,0,1390,570,578,293
thyroid_dis,discordant.,3,0.15496015548706055,0,5965,2020,4356,533
thyroid_dis,discordant.,5,1.8191111087799072,0,32842,28048,30748,854
synthetic_control,4,2,0.1732926368713379,0,11118,438,7893,890
synthetic_control,4,3,0.19808483123779297,0,12335,655,9110,941
synthetic_control,4,5,0.19965410232543945,0,12609,760,9384,943
titanic,1,2,0.005791187286376953,0,36,26,17,16
titanic,1,3,0.005972146987915039,0,48,38,25,24
titanic,1,5,0.0061457157135009766,0,48,38,25,24
secom,1,2,0.3849818706512451,0,19306,6747,8999,506
secom,1,3,3.814831018447876,0,118582,18667,103037,643
secom,1,5,10.635055541992188,0,153109,44175,136034,767
wine,1,2,0.019263505935668945,0,913,149,540,222
wine,1,3,0.02327132225036621,0,1189,188,816,263
wine,1,5,0.02378678321838379,0,1200,192,827,264
thyroid_allrep,overreplacement.,2,0.030954837799072266,0,844,337,575,273
thyroid_allrep,overreplacement.,3,0.08201718330383301,0,3078,1667,2604,452
thyroid_allrep,overreplacement.,5,1.1912100315093994,0,24567,22016,23855,908
post,S,2,0.007782936096191406,0,176,112,76,51
post,S,3,0.012187004089355469,0,436,273,188,126
post,S,5,0.01737523078918457,0,670,452,311,174
human,1,2,4.410572052001953,0,117672,2441,116478,561
human,1,3,4.966540575027466,0,131857,7284,130663,647
human,1,5,8.807018518447876,0,167276,30126,166082,737
connectionist_sonar,R,2,0.4192931652069092,0,28920,444,13968,430
connectionist_sonar,R,3,0.4223747253417969,0,29216,502,14264,450
connectionist_sonar,R,5,0.4352903366088867,0,29224,509,14272,450
hiv_746,-1,2,0.13747620582580566,0,9751,275,4041,115
hiv_746,-1,3,0.14360284805297852,0,9915,384,4051,115
hiv_746,-1,5,0.14720678329467773,0,10037,504,4053,115
madelon,1,2,39.39844751358032,0,1985034,354067,958033,784
madelon,1,3,-1.0,1,-1,-1,-1,-1
madelon,1,5,-1.0,1,-1,-1,-1,-1
NormalDist_Random-Synthetic__2_14_7418_,0,2,0.0693514347076416,0,1891,1459,892,269
NormalDist_Random-Synthetic__2_14_7418_,0,3,0.5813982486724854,0,20744,12252,10586,349
NormalDist_Random-Synthetic__2_14_7418_,0,5,23.845311403274536,0,162999,53057,86002,357
led,2,2,0.006959676742553711,0,105,90,40,40
led,2,3,0.01055288314819336,0,320,201,146,130
led,2,5,0.01355600357055664,0,459,274,269,195
ND_LVL_1_0_NormalDist_Random-Synthetic__2_5_1000_,1,2,0.011102676391601562,0,325,233,131,110
ND_LVL_1_0_NormalDist_Random-Synthetic__2_5_1000_,1,3,0.02507805824279785,0,1117,527,554,184
ND_LVL_1_0_NormalDist_Random-Synthetic__2_5_1000_,1,5,0.03380632400512695,0,1496,616,760,196
auto4,class1,2,1.5913758277893066,0,75466,28898,37080,607
auto4,class1,3,42.04592823982239,0,1306608,74135,818937,638
auto4,class1,5,90.76439094543457,0,1565792,81426,988360,638
Tic-Tac-ToeEndgame_UCI_,negative,2,0.01270294189453125,0,378,339,151,142
Tic-Tac-ToeEndgame_UCI_,negative,3,0.04567456245422363,0,2430,603,1083,234
Tic-Tac-ToeEndgame_UCI_,negative,5,0.0509335994720459,0,2620,615,1273,246
Covertype,7,2,5.8385255336761475,0,5484,1774,2292,331
Covertype,7,3,26.60547137260437,0,33031,12409,24962,720
Covertype,7,5,-1.0,1,-1,-1,-1,-1
pc4,2,2,0.2746725082397461,0,7383,786,3097,371
pc4,2,3,0.2607889175415039,0,12040,2963,7447,478
pc4,2,5,1.502143383026123,0,23926,10806,18431,550
ED_LVL_3_4_EqualDist_Random-Synthetic__2_20_10000000_,0,2,-1.0,1,-1,-1,-1,-1
ED_LVL_3_4_EqualDist_Random-Synthetic__2_20_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_4_EqualDist_Random-Synthetic__2_20_10000000_,0,5,-1.0,1,-1,-1,-1,-1
firm,1,2,0.11678075790405273,0,704,616,353,233
firm,1,3,0.5358850955963135,0,6721,1249,3864,445
firm,1,5,0.32671022415161133,0,7304,1337,4447,532
ND_LVL_2_2_NormalDist_Random-Synthetic__2_10_100000_,0,2,0.6710259914398193,0,5050,2446,2402,330
ND_LVL_2_2_NormalDist_Random-Synthetic__2_10_100000_,0,3,4.336871385574341,0,42683,20999,21201,355
ND_LVL_2_2_NormalDist_Random-Synthetic__2_10_100000_,0,5,38.965497970581055,0,239120,42463,126287,355
ND_LVL_3_2_NormalDist_Random-Synthetic__2_20_100000_,1,2,3.988666296005249,0,39427,16160,19267,416
ND_LVL_3_2_NormalDist_Random-Synthetic__2_20_100000_,1,3,74.13869881629944,0,786573,172864,413371,416
ND_LVL_3_2_NormalDist_Random-Synthetic__2_20_100000_,1,5,-1.0,1,-1,-1,-1,-1
Stroke_Kaggle_,1,2,0.08528304100036621,0,467,289,218,159
Stroke_Kaggle_,1,3,0.14642715454101562,0,1808,591,1201,258
Stroke_Kaggle_,1,5,0.07800841331481934,0,2200,776,1529,285
spambase,1,2,0.3360304832458496,0,7362,1658,3675,731
spambase,1,3,1.297314167022705,0,32829,20929,11424,795
spambase,1,5,1068.1163773536682,0,2118458,2106558,628474,795
echocardio,1,2,0.012573480606079102,0,470,68,219,33
echocardio,1,3,0.013517618179321289,0,481,74,224,34
echocardio,1,5,0.012255191802978516,0,481,74,224,34
phoneme,1,2,0.013068914413452148,0,210,174,84,84
phoneme,1,3,0.025996923446655273,0,782,266,356,193
phoneme,1,5,0.027974605560302734,0,825,274,398,195
texture,14,2,0.3032042980194092,0,12406,530,4638,452
texture,14,3,0.3312859535217285,0,13617,693,5849,503
texture,14,5,0.3354001045227051,0,13682,721,5914,508
statlog_is,7,2,0.039816856384277344,0,1611,163,647,317
statlog_is,7,3,0.04969215393066406,0,1994,239,1030,444
statlog_is,7,5,0.05139589309692383,0,2094,292,1130,521
banknote,1,2,0.007677793502807617,0,121,85,56,53
banknote,1,3,0.00971674919128418,0,248,152,136,117
banknote,1,5,0.010711669921875,0,269,165,157,133
NormalDist_Random-Synthetic__2_6_5132_,1,2,0.01228475570678711,0,153,131,71,71
NormalDist_Random-Synthetic__2_6_5132_,1,3,0.022668838500976562,0,545,511,278,186
NormalDist_Random-Synthetic__2_6_5132_,1,5,0.05853414535522461,0,1707,1386,876,248
ilpd,2,2,0.017705202102661133,0,741,344,348,219
ilpd,2,3,0.0411527156829834,0,2156,563,1649,271
ilpd,2,5,0.045023441314697266,0,2274,619,1767,277
EqualDist_Random-Synthetic__2_7_7307_,0,2,0.021180391311645508,0,378,324,168,151
EqualDist_Random-Synthetic__2_7_7307_,0,3,0.06514310836791992,0,2103,1826,1055,267
EqualDist_Random-Synthetic__2_7_7307_,0,5,0.3047783374786377,0,7158,3885,3905,277
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,2,1.0262153148651123,0,325,275,132,124
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,3,2.066924810409546,0,1575,1273,743,224
ND_LVL_1_3_NormalDist_Random-Synthetic__2_5_1000000_,1,5,4.0610671043396,0,4033,2744,1948,238
satimage,5,2,0.2545802593231201,0,10014,431,3233,422
satimage,5,3,0.30556774139404297,0,11769,1333,4988,501
satimage,5,5,0.5337889194488525,0,16520,5265,9739,511
turkiye,11,2,0.27849459648132324,0,11781,1873,4926,459
turkiye,11,3,0.8128678798675537,0,26800,13580,15366,589
turkiye,11,5,124.42583680152893,0,460499,444774,345892,680
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,2,1.684220790863037,0,1039,166,377,139
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,3,1.6655468940734863,0,1039,166,377,139
I_LVL3_0_Interesting_Non-Random-Synthetic__2_7_823543_,1,5,1.692199945449829,0,1039,166,377,139
auto2, class2,2,12.064861297607422,0,304590,303024,151921,713
auto2, class2,3,-1.0,1,-1,-1,-1,-1
auto2, class2,5,-1.0,1,-1,-1,-1,-1
oil_spill,2,2,0.29341816902160645,0,17025,587,7016,350
oil_spill,2,3,0.31258487701416016,0,18205,923,8195,469
oil_spill,2,5,0.32807135581970215,0,18789,1373,8779,510
DryBeans,HOROZ,2,0.0817568302154541,0,1717,159,507,261
DryBeans,HOROZ,3,0.09221673011779785,0,2054,231,844,384
DryBeans,HOROZ,5,0.09601974487304688,0,2166,312,956,437
spectf_heart,0,2,0.20934510231018066,0,15054,874,7395,484
spectf_heart,0,3,0.2765665054321289,0,17221,912,9562,506
spectf_heart,0,5,0.2756197452545166,0,17229,915,9570,509
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,2,32.36607050895691,0,301,251,182,131
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,3,63.73822355270386,0,1356,436,990,181
I_LVL2_4_Interesting_Non-Random-Synthetic__2_5_31250000_,1,5,63.54778861999512,0,1356,436,990,181
planning,2,2,0.024950265884399414,0,1176,616,494,215
planning,2,3,0.06738734245300293,0,3646,826,2236,237
planning,2,5,0.06797218322753906,0,3677,856,2254,237
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,2,0.005423545837402344,0,7,5,4,4
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,3,0.005561113357543945,0,7,5,4,4
I_LVL1_3_Interesting_Non-Random-Synthetic__2_2_4000_,1,5,0.0054395198822021484,0,7,5,4,4
trains,west,2,0.008092880249023438,0,80,0,32,0
trains,west,3,0.00814509391784668,0,80,0,32,0
trains,west,5,0.007814645767211914,0,80,0,32,0
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,2,1.819420337677002,0,80200,4198,40530,191
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,3,2.2300875186920166,0,82680,4198,42740,191
ED_LVL_3_1_EqualDist_Random-Synthetic__2_20_10000_,0,5,2.2187981605529785,0,82680,4198,42740,191
appendicitis,1,2,0.011241674423217773,0,379,80,105,34
appendicitis,1,3,0.012366294860839844,0,438,118,143,64
appendicitis,1,5,0.012883901596069336,0,462,139,166,84
mc2,2,2,0.131072998046875,0,9870,574,3916,353
mc2,2,3,0.18532228469848633,0,13071,2525,7066,481
mc2,2,5,0.835376501083374,0,28142,14206,22108,541
breast_cancer_wis_ori,M,2,0.10722470283508301,0,7141,206,2887,327
breast_cancer_wis_ori,M,3,0.1146087646484375,0,7426,257,3172,405
breast_cancer_wis_ori,M,5,0.11430740356445312,0,7479,298,3225,449
urban,shadow ,2,1.8749401569366455,0,113163,853,63176,539
urban,shadow ,3,1.935863971710205,0,116439,3633,66452,760
urban,shadow ,5,9.062107563018799,0,200775,87969,150788,1013
parkinsons,0,2,0.05492734909057617,0,3658,255,1462,294
parkinsons,0,3,0.06427884101867676,0,4208,402,2012,378
parkinsons,0,5,0.0672903060913086,0,4382,487,2186,416
haberman,2,2,0.006035327911376953,0,66,49,29,28
haberman,2,3,0.006724357604980469,0,107,56,50,29
haberman,2,5,0.006514310836791992,0,107,56,50,29
