dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting
mechanical,4,5,0.13758230209350586,0,5583,1363,1862,459
OnlineShoppersIntention,True,2,0.12683606147766113,0,3467,752,1429,297
OnlineShoppersIntention,True,3,0.573408842086792,0,20929,2823,10797,657
OnlineShoppersIntention,True,5,3.9743881225585938,0,159533,12072,90325,979
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.13446617126464844,0,4601,4601,2264,355
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.6517975330352783,0,124601,6102,68469,478
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,3.423908233642578,0,162831,6102,88598,478
glass,3,2,0.012530326843261719,0,414,221,174,137
glass,3,3,0.03237605094909668,0,1512,428,699,273
glass,3,5,0.045723915100097656,0,2141,579,1079,329
molecular_promoter,+,2,0.44727063179016113,0,25605,1046,9894,442
molecular_promoter,+,3,1.2643468379974365,0,69973,961,42561,539
molecular_promoter,+,5,1.7588741779327393,0,98845,905,68960,534
blood,1,2,0.006392717361450195,0,113,98,46,46
blood,1,3,0.010238409042358398,0,321,179,102,84
blood,1,5,0.011511802673339844,0,385,204,123,96
weight,B,2,1.896592140197754,0,108220,767,59420,391
weight,B,3,3.231334924697876,0,183962,861,117906,466
weight,B,5,4.632802724838257,0,262919,893,187560,521
ozone1,1,2,0.7543506622314453,0,35291,1156,13106,467
ozone1,1,3,2.260997772216797,0,111599,4352,69963,807
ozone1,1,5,23.699903964996338,0,1219503,47878,899595,1774
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.29054784774780273,0,276,276,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4600811004638672,0,1526,1526,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,1.032327651977539,0,7776,4651,0,0
ionosphere,b,2,0.15662884712219238,0,8070,639,3571,357
ionosphere,b,3,0.4150857925415039,0,22717,989,11981,513
ionosphere,b,5,1.2529449462890625,0,72532,3772,36091,703
grammatical_b7,1,2,3.1015784740448,0,151802,3645,96245,919
grammatical_b7,1,3,26.181166887283325,0,1333008,46268,1003780,2015
grammatical_b7,1,5,-1.0,1,-1,-1,-1,-1
wine_quality,4,2,0.043123483657836914,0,1015,793,440,237
wine_quality,4,3,0.17343759536743164,0,6711,1557,3810,433
wine_quality,4,5,0.5165054798126221,0,22547,3029,13443,774
VehicleCouponRecommendation,0,2,0.12491655349731445,0,3756,1389,1798,308
VehicleCouponRecommendation,0,3,0.7199516296386719,0,29107,5793,14635,580
VehicleCouponRecommendation,0,5,4.854736089706421,0,210127,35127,88658,1073
auto7_2,class3,2,0.02324986457824707,0,734,696,348,218
auto7_2,class3,3,0.14189410209655762,0,6894,2502,3564,468
auto7_2,class3,5,0.5212936401367188,0,27075,3610,14942,582
wave,0,2,0.10644650459289551,0,3445,1449,1701,413
wave,0,3,0.9532055854797363,0,42513,3255,28964,663
wave,0,5,2.8748362064361572,0,133841,5359,104173,772
cnae9,4,2,15.863161563873291,0,827777,369733,350349,838
cnae9,4,3,-1.0,1,-1,-1,-1,-1
cnae9,4,5,-1.0,1,-1,-1,-1,-1
grammatical_a9,1,2,1.653336763381958,0,81614,3326,64153,528
grammatical_a9,1,3,30.16852879524231,0,1559731,61789,1259072,699
grammatical_a9,1,5,-1.0,1,-1,-1,-1,-1
teaching,2,2,0.009921789169311523,0,340,48,102,21
teaching,2,3,0.01222848892211914,0,474,60,134,25
teaching,2,5,0.012599468231201172,0,494,60,143,25
auto6_1,class8,2,0.24375343322753906,0,11864,5063,5641,418
auto6_1,class8,3,3.561270236968994,0,188257,6011,117973,657
auto6_1,class8,5,5.598218679428101,0,291220,6023,194310,677
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.55272889137268,0,4601,4601,2314,357
