dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting
mechanical,4,3,0.0629720687866211,0,2284,1252,736,317
mechanical,4,5,0.26340556144714355,0,13613,4788,3243,504
OnlineShoppersIntention,True,2,0.11943793296813965,0,3194,1691,993,307
OnlineShoppersIntention,True,3,0.9290144443511963,0,41883,11572,7423,744
OnlineShoppersIntention,True,5,12.935302734375,0,702310,90735,67700,1066
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.133652925491333,0,4601,4601,2264,403
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.233741521835327,0,124601,30939,24367,650
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,8.609611988067627,0,642691,30939,24367,650
glass,3,2,0.012668609619140625,0,414,221,145,138
glass,3,3,0.03178548812866211,0,1778,556,412,267
glass,3,5,0.0460057258605957,0,2697,816,652,317
molecular_promoter,+,2,0.2172691822052002,0,17561,1837,1486,465
molecular_promoter,+,3,0.87532639503479,0,85233,1272,1105,523
molecular_promoter,+,5,1.2883641719818115,0,128517,1212,1079,520
blood,1,2,0.006940364837646484,0,113,98,46,46
blood,1,3,0.010469436645507812,0,321,179,84,84
blood,1,5,0.011600255966186523,0,385,204,96,96
weight,B,2,0.35826539993286133,0,32269,1138,1038,380
weight,B,3,0.6490120887756348,0,62742,1047,1013,434
weight,B,5,1.6001896858215332,0,163471,799,726,423
ozone1,1,2,0.6443719863891602,0,33507,15072,11683,569
ozone1,1,3,16.017613649368286,0,997761,227327,223948,1137
ozone1,1,5,-1.0,1,-1,-1,-1,-1
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.33420372009277344,0,276,276,0,0
